OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,GlobalID,SHAPE_Length,SHAPE_Area
5159,2018,CA,USF,SQF,WFUHL18002,TRAIL FIRE,7,2018/01/04 00:00:00,2018/01/04 00:00:00,35,31.870815,,,,{55A32E58-7FC5-4A3A-AE87-5CDCD1C1A34F},3274.04526890416,200937.441427333
5160,2018,CA,USF,KNF,7180072000,SECOND,3,2018/10/18 00:00:00,2018/10/18 00:00:00,40,39.85207,,,,{9F18C9F3-D0AB-4170-9FD6-6A3860427F0C},2551.62450340388,289482.9235194
5161,2018,CA,USF,LNF,F032000050,SOUTH STATION COYOTE BURN PILES,3,2018/04/26 00:00:00,2018/04/26 00:00:00,169.1,169.14128,,,,{2A2F8AD6-9DD6-46EF-B5CF-4B84157C76FF},4710.3624795994,1192172.57537061
5162,2018,CA,USF,PNF,4120001002,BRUSH CREEK DFPZ,3,2018/06/15 00:00:00,2018/06/15 00:00:00,49,48.080753,,,,{6AD25A8F-7A46-4A18-A3E1-4EBD6A393548},4135.41442538037,329293.83747692
5163,2018,CA,USF,KNF,7320016000,ERICKSON UNDERBURN,3,2018/10/31 00:00:00,2018/10/31 00:00:00,297,296.69638,,,,{378FF65C-2236-41BA-A749-6F01B1701488},7992.86194129568,2152876.75576025
5164,2018,CA,USF,KNF,7180097000,FIRST,3,2018/10/18 00:00:00,2018/10/18 00:00:00,73,72.729057,,,,{324E70F5-D3F6-4201-B472-F0709007BE30},4167.17865286932,528351.559826054
5165,2018,CA,USF,MDF,6130085000,BENCH UN 16,3,2018/08/03 00:00:00,2018/08/03 00:00:00,240,241.50734,,,,{55374835-1571-48B4-972F-3F0A61946550},7022.61836189411,1747857.60167519
5166,2018,CA,USF,STF,0260001000,FY2018,3,2018/04/11 00:00:00,2018/04/11 00:00:00,99,98.724304,,,,{648F6DAF-F4DB-49F7-9825-F9E504AACD2C},3208.79196908286,641305.411668546
5167,2018,CA,USF,MNF,0273018000,HOWARD MILL UNDERSTORY,7,2018/09/28 00:00:00,2018/09/28 00:00:00,9,70.31588,,,,{BB513861-C596-4B54-ADD5-A461EBA024B6},6966.68759813397,475745.482123656
5168,2018,CA,USF,PNF,4120002001,BRUSH CREEK,3,2018/04/26 00:00:00,2018/04/26 00:00:00,55,66.876266,,,,{A2D1D875-B120-43FD-B54D-626DC4EDC08E},5762.73472033026,457937.995148762
5169,2018,CA,USF,KNF,7430133000,TENNANT WUI UNDERBURN,3,2018/05/09 00:00:00,2018/05/09 00:00:00,28,28.39946,,,,{E8EF25F7-BB60-41C5-8C79-B6EF93C9B409},1947.29425932572,205678.494345114
5170,,,CDF,MVU,,MORRETTISVMP2018,,2018/11/28 00:00:00,2018/11/29 00:00:00,70,69.393753,,,,{762D80FA-FF4D-451F-B6E1-3646698D7CD8},3534.74367318353,401904.014415191
5171,,,CDF,MVU,,CORTEMADERAVMP2018,,2018/01/18 00:00:00,2018/01/25 00:00:00,95,94.824707,,,,{606892A3-5026-4CFB-AA64-F7661E6AD2BE},3467.03734236825,544258.455549007
5172,2018,CA,USF,SQF,5883632010602,MOUNTAIN 50 RD 2018,3,2018/12/18 00:00:00,2018/12/18 00:00:00,624,387.50589,,,,{7BD4ACBC-F37F-4201-A58A-8021696F0E4F},40701.9027201696,2396388.44471174
5173,2018,CA,USF,SQF,5883647010602,MOUNTAIN 50 RD 2018,14,2018/12/18 00:00:00,2018/12/18 00:00:00,624,387.50589,,,,{13532B13-86F0-4E31-965F-836E53AAF577},40701.9027201696,2396388.44471174
5174,2018,CA,USF,SQF,5813073010602,MOUNTAIN 50 RD 2018,14,2018/12/22 00:00:00,2018/12/22 00:00:00,624,387.50589,,,,{8433C10C-4690-4307-BF1C-F8C1DDD6186E},40701.9027201696,2396388.44471174
5175,2018,CA,USF,SQF,5813053010602,MOUNTAIN 50 RD 2018,14,2018/03/27 00:00:00,2018/03/27 00:00:00,624,387.50589,,,,{EDE647FE-A526-451B-8F7C-B59E90A38097},40701.9027201696,2396388.44471174
5176,2018,CA,USF,SQF,5652222010602,GROUSE MEADOW,3,2018/12/04 00:00:00,2018/12/04 00:00:00,212,212.31628,,,,{2DA5A2A3-238C-4042-B748-1823B593DAF2},12541.2738224386,1325715.40000585
5177,2018,CA,USF,SQF,5651520010602,GROUSE MEADOW,14,2018/04/01 00:00:00,2018/04/01 00:00:00,212,212.31628,,,,{0E8112A3-6EA6-40F6-9DD4-3003320D8782},12541.2738224386,1325715.40000585
