California, Climate Division 1, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198712,14.23,5.76
198801,9.00,-0.14
198802,0.43,-7.32
198803,1.09,-5.14
198804,3.17,-0.18
198805,2.26,0.33
198806,2.05,1.23
198807,0.04,-0.16
198808,0.06,-0.21
198809,0.09,-0.78
198810,0.52,-2.48
198811,12.89,6.23
198812,5.51,-2.96
198901,4.02,-5.12
198902,2.11,-5.64
198903,13.64,7.41
198904,2.56,-0.79
198905,1.72,-0.21
198906,0.59,-0.23
198907,0.03,-0.17
198908,0.36,0.09
198909,2.41,1.54
198910,5.13,2.13
198911,2.12,-4.54
198912,0.61,-7.86
199001,9.20,0.06
199002,4.74,-3.01
199003,3.33,-2.90
199004,1.37,-1.98
199005,7.12,5.19
199006,0.46,-0.36
199007,0.33,0.13
199008,0.84,0.57
199009,0.52,-0.35
199010,1.72,-1.28
199011,1.79,-4.87
199012,2.38,-6.09
199101,2.35,-6.79
199102,4.26,-3.49
199103,12.69,6.46
199104,2.22,-1.13
199105,1.94,0.01
199106,0.63,-0.19
199107,0.48,0.28
199108,0.36,0.09
199109,0.05,-0.82
199110,2.24,-0.76
199111,3.34,-3.32
199112,3.99,-4.48
199201,3.81,-5.33
199202,8.72,0.97
199203,5.06,-1.17
199204,3.59,0.24
199205,0.31,-1.62
199206,2.09,1.27
199207,0.30,0.10
199208,0.03,-0.24
199209,0.19,-0.68
199210,4.45,1.45
199211,2.85,-3.81
199212,13.44,4.97
199301,12.41,3.27
199302,7.62,-0.13
199303,5.73,-0.50
199304,5.68,2.33
199305,5.26,3.33
199306,1.65,0.83
199307,0.13,-0.07
199308,0.51,0.24
199309,0.16,-0.71
199310,1.45,-1.55
199311,2.20,-4.46
199312,7.62,-0.85
199401,5.65,-3.49
199402,6.59,-1.16
199403,1.44,-4.79
199404,2.72,-0.63
199405,2.32,0.39
199406,0.38,-0.44
199407,0.04,-0.16
199408,0.00,-0.27
199409,0.30,-0.57
199410,0.68,-2.32
199411,9.45,2.79
199412,6.13,-2.34
199501,23.62,14.48
199502,2.18,-5.57
199503,17.72,11.49
199504,6.73,3.38
199505,2.60,0.67
199506,1.95,1.13
199507,0.52,0.32
199508,0.04,-0.23
199509,0.22,-0.65
199510,0.28,-2.72
199511,1.77,-4.89
199512,17.19,8.72
199601,13.40,4.26
199602,10.57,2.82
199603,4.89,-1.34
199604,5.53,2.18
199605,4.18,2.25
199606,0.35,-0.47
199607,0.24,0.04
199608,0.04,-0.23
199609,0.92,0.05
199610,3.31,0.31
199611,6.79,0.13
199612,22.88,14.41
199701,13.02,3.88
199702,2.54,-5.21
199703,3.12,-3.11
199704,3.20,-0.15
199705,1.17,-0.76
199706,1.48,0.66
199707,0.26,0.06
